Netherlands,Amsterdam,Europe
New Zealand,Wellington,Australia
Nicaragua,Managua,North America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
North Korea,Pyongyang,Asia
North Macedonia,Skopje,Europe
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Ngerulmud,Australia
Panama,Panama City,North America
Papua New Guinea,Port Moresby,Australia
Paraguay,AsunciÛn,South America
Peru,Lima,South America
Philippines,Manila,Asia
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Qatar,Doha,Asia
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Kitts and Nevis,Basseterre,North America
Saint Lucia,Castries,North America
Saint Vincent and the Grenadines,Kingstown,North America
Samoa,Apia,Australia
San Marino,San Marino,Europe
Sao Tome and Principe,S„o TomÈ,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Australia
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Korea,Seoul,Asia
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Sri Jayawardenepura Kotte,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,South America
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dodoma,Africa
Thailand,Bangkok,Asia
Togo,LomÈ,Africa
Tonga,Nuku'alofa,Australia
Trinidad and Tobago,Port of Spain,North America
Tunisia,Tunis,Africa
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
Tuvalu,Funafuti,Australia
Uganda,Kampala,Africa
Ukraine,Kyiv,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States,"Washington, D.C.",North America
Uruguay,Montevideo,South America
Uzbekistan,Tashkent,Asia
Vanuatu,Port Vila,Australia
Vatican City,Vatican City,Europe
Venezuela,Caracas,South America
Vietnam,Hanoi,Asia
Yemen,Sana'a,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
